Game Infos,AmongUs ver.2025.3.25,ExtremeRoles ver.13.0.1.1,Exported on:2025/04/19 15:25:50
ビジョン,2x,PsychoKillerVision,7
視界効果を受けるか,オフ,PsychoKillerApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,PsychoKillerHasOtherKillCool,0
キルクールタイム,30秒,PsychoKillerKillCoolDown,58
別のキルレンジを持つか,オフ,PsychoKillerHasOtherKillRange,0
キルレンジ,ショート,PsychoKillerKillRange,0
キルクールの減少率,5％,PsychoKillerKillCoolReduceRate,4
最大キルコンボ数,2,PsychoKillerCombMax,1
キルコンボを会議時にリセットするか,オン,PsychoKillerCombResetWhenMeeting,1
自爆タイマーを有効化するか,オフ,PsychoKillerHasSelfKillTimer,0
自爆タイマーの秒数,30秒,PsychoKillerSelfKillTimerTime,50
会議終了後、タイマーが強制作動するか,オフ,PsychoKillerIsForceRestartWhenMeetingEnd,0
会議終了後の最初のキルまでタイマーが作動しないか,オフ,PsychoKillerIsDiactiveUntilKillWhenMeetingEnd,0
キルコンボ数による自爆タイマーの増減率,0％,PsychoKillerSelfKillTimerModRate,50
スポーンレート,0％,BountyHunterSpawnRate,0
スポーン数,1,BountyHunterRoleNum,0
アサインウェイト,500,BountyHunterAssignWeight,499
別の視界設定を持つか,オフ,BountyHunterHasOtherVision,0
ビジョン,2x,BountyHunterVision,7
視界効果を受けるか,オフ,BountyHunterApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,BountyHunterHasOtherKillCool,0
キルクールタイム,30秒,BountyHunterKillCoolDown,58
別のキルレンジを持つか,オフ,BountyHunterHasOtherKillRange,0
キルレンジ,ショート,BountyHunterKillRange,0
ターゲット更新時間,60秒,BountyHunterTargetUpdateTime,60
ターゲットキル時のキルクール,5秒,BountyHunterTargetKillCoolTime,8
ターゲット以外キル時のキルクール,45秒,BountyHunterNoneTargetKillCoolTime,88
ターゲットを指す矢印を表示するか,オフ,BountyHunterIsShowArrow,0
矢印の更新時間,10秒,BountyHunterArrowUpdateCycle,18
スポーンレート,0％,PainterSpawnRate,0
スポーン数,1,PainterRoleNum,0
アサインウェイト,500,PainterAssignWeight,499
別の視界設定を持つか,オフ,PainterHasOtherVision,0
ビジョン,2x,PainterVision,7
視界効果を受けるか,オフ,PainterApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,PainterHasOtherKillCool,0
キルクールタイム,30秒,PainterKillCoolDown,58
別のキルレンジを持つか,オフ,PainterHasOtherKillRange,0
キルレンジ,ショート,PainterKillRange,0
「ペイント」のクールタイム,30秒,PainterAbilityCoolTime,59
「ペイント」が行える距離,1,PainterCanPaintDistance,0
スポーンレート,0％,FakerSpawnRate,0
スポーン数,1,FakerRoleNum,0
アサインウェイト,500,FakerAssignWeight,499
別の視界設定を持つか,オフ,FakerHasOtherVision,0
ビジョン,2x,FakerVision,7
視界効果を受けるか,オフ,FakerApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,FakerHasOtherKillCool,0
キルクールタイム,30秒,FakerKillCoolDown,58
別のキルレンジを持つか,オフ,FakerHasOtherKillRange,0
キルレンジ,ショート,FakerKillRange,0
「ダミー」のクールタイム,30秒,FakerAbilityCoolTime,59
スポーンレート,100％,OverLoaderSpawnRate,10
スポーン数,1,OverLoaderRoleNum,0
アサインウェイト,490,OverLoaderAssignWeight,489
別の視界設定を持つか,オフ,OverLoaderHasOtherVision,0
ビジョン,2x,OverLoaderVision,7
視界効果を受けるか,オフ,OverLoaderApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,OverLoaderHasOtherKillCool,0
キルクールタイム,30秒,OverLoaderKillCoolDown,58
別のキルレンジを持つか,オフ,OverLoaderHasOtherKillRange,0
キルレンジ,ショート,OverLoaderKillRange,0
「オーバーローダー」に覚醒するインポスター生存者数,14,OverLoaderAwakeImpostorNum,13
「オーバーローダー」に覚醒するキル回数,0,OverLoaderAwakeKillCount,0
「オーバーロード」のクールタイム,30秒,OverLoaderAbilityCoolTime,59
「オーバーロード」発動後、解除可能になるまでの時間,7.5秒,OverLoaderAbilityActiveTime,14
「オーバーロード」時のキルクールの減少率,75％,OverLoaderKillCoolReduceRate,25
「オーバーロード」時のプレイヤーの移動速度,1.5x,OverLoaderMoveSpeed,5
スポーンレート,60％,CrackerSpawnRate,6
スポーン数,1,CrackerRoleNum,0
アサインウェイト,500,CrackerAssignWeight,499
別の視界設定を持つか,オフ,CrackerHasOtherVision,0
ビジョン,2x,CrackerVision,7
視界効果を受けるか,オフ,CrackerApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,CrackerHasOtherKillCool,0
キルクールタイム,30秒,CrackerKillCoolDown,58
別のキルレンジを持つか,オフ,CrackerHasOtherKillRange,0
キルレンジ,ショート,CrackerKillRange,0
「クラック」のクールタイム,25秒,CrackerAbilityCoolTime,49
「クラック」の使用回数,2回,CrackerAbilityCount,1
「クラック」が発動できる範囲,1,CrackerCanCrackDistance,0
「クラック」によって死体を消すか,オン,CrackerRemoveDeadBody,1
スポーンレート,50％,BomberSpawnRate,5
スポーン数,1,BomberRoleNum,0
アサインウェイト,500,BomberAssignWeight,499
別の視界設定を持つか,オフ,BomberHasOtherVision,0
ビジョン,2x,BomberVision,7
視界効果を受けるか,オフ,BomberApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,BomberHasOtherKillCool,0
キルクールタイム,30秒,BomberKillCoolDown,58
別のキルレンジを持つか,オフ,BomberHasOtherKillRange,0
キルレンジ,ショート,BomberKillRange,0
「爆弾設置」のクールタイム,25秒,BomberAbilityCoolTime,49
「爆弾設置」が完了する時間,2.5秒,BomberAbilityActiveTime,4
「爆弾設置」の使用回数,2回,BomberAbilityCount,1
爆弾の爆発範囲,2,BomberExplosionRange,1
爆発範囲に居たクルーが死亡する確率,50％,BomberExplosionKillChance,25
「爆弾設置」後、爆発するまでの時間の最小時間,15秒,BomberTimerMinTime,20
「爆弾設置」後、爆発するまでの時間の最大時間,60秒,BomberTimerMaxTime,30
爆発を役職の人に教えるかどうか,オン,BomberTellExplosion,1
スポーンレート,0％,MerySpawnRate,0
スポーン数,1,MeryRoleNum,0
アサインウェイト,500,MeryAssignWeight,499
別の視界設定を持つか,オフ,MeryHasOtherVision,0
ビジョン,2x,MeryVision,7
視界効果を受けるか,オフ,MeryApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,MeryHasOtherKillCool,0
キルクールタイム,30秒,MeryKillCoolDown,58
別のキルレンジを持つか,オフ,MeryHasOtherKillRange,0
キルレンジ,ショート,MeryKillRange,0
「陣」のクールタイム,30秒,MeryAbilityCoolTime,59
「陣」の使用回数,3回,MeryAbilityCount,2
「陣」が活性化するのに必要なプレイヤー数,3,MeryActiveNum,2
「陣」がプレイヤーを検知する範囲,2,MeryActiveRange,19
スポーンレート,0％,SlaveDriverSpawnRate,0
スポーン数,1,SlaveDriverRoleNum,0
アサインウェイト,500,SlaveDriverAssignWeight,499
別の視界設定を持つか,オフ,SlaveDriverHasOtherVision,0
ビジョン,2x,SlaveDriverVision,7
視界効果を受けるか,オフ,SlaveDriverApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,SlaveDriverHasOtherKillCool,0
キルクールタイム,30秒,SlaveDriverKillCoolDown,58
別のキルレンジを持つか,オフ,SlaveDriverHasOtherKillRange,0
キルレンジ,ショート,SlaveDriverKillRange,0
タスクバーを常に見ることが出来るか,オン,SlaveDriverCanSeeTaskBar,1
「ハラスメント」のクールタイム,30秒,SlaveDriverAbilityCoolTime,59
「ハラスメント」の使用回数,2回,SlaveDriverAbilityCount,1
「ハラスメント」で巻き戻るタスク数,2,SlaveDriverRevartTaskNum,1
「ハラスメント」が発動できる範囲,0.75,SlaveDriverRange,2
スポーンレート,0％,SandWormSpawnRate,0
スポーン数,1,SandWormRoleNum,0
アサインウェイト,500,SandWormAssignWeight,499
別の視界設定を持つか,オフ,SandWormHasOtherVision,0
ビジョン,2x,SandWormVision,7
視界効果を受けるか,オフ,SandWormApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,SandWormHasOtherKillCool,0
キルクールタイム,30秒,SandWormKillCoolDown,58
別のキルレンジを持つか,オフ,SandWormHasOtherKillRange,0
キルレンジ,ショート,SandWormKillRange,0
通常キルのキルクールペナルティ,1.5秒,SandWormKillCoolPenalty,5
「強襲」及び停電中のキルのキルクールボーナス,3秒,SandWormAssaultKillCoolReduce,20
「強襲」が使用できる範囲,2,SandWormAssaultRange,19
「強襲」のクールタイム,15秒,SandWormAbilityCoolTime,145
スポーンレート,0％,SmasherSpawnRate,0
スポーン数,1,SmasherRoleNum,0
アサインウェイト,500,SmasherAssignWeight,499
別の視界設定を持つか,オフ,SmasherHasOtherVision,0
ビジョン,2x,SmasherVision,7
視界効果を受けるか,オフ,SmasherApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,SmasherHasOtherKillCool,0
キルクールタイム,30秒,SmasherKillCoolDown,58
別のキルレンジを持つか,オフ,SmasherHasOtherKillRange,0
キルレンジ,ショート,SmasherKillRange,0
「スマッシュ」のクールタイム,30秒,SmasherAbilityCoolTime,59
「スマッシュ」の使用回数,1回,SmasherAbilityCount,0
「スマッシュ」によるキルクールペナルティ,4秒,SmasherSmashPenaltyKillCool,8
スポーンレート,0％,AssaultMasterSpawnRate,0
スポーン数,1,AssaultMasterRoleNum,0
アサインウェイト,500,AssaultMasterAssignWeight,499
別の視界設定を持つか,オフ,AssaultMasterHasOtherVision,0
ビジョン,2x,AssaultMasterVision,7
視界効果を受けるか,オフ,AssaultMasterApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,AssaultMasterHasOtherKillCool,0
キルクールタイム,30秒,AssaultMasterKillCoolDown,58
別のキルレンジを持つか,オフ,AssaultMasterHasOtherKillRange,0
キルレンジ,ショート,AssaultMasterKillRange,0
「リロード」のクールタイム,30秒,AssaultMasterAbilityCoolTime,59
「ストック」の上限数,2本,AssaultMasterStockLimit,1
死体通報による貯まる「ストック」の本数,1本,AssaultMasterStockNumWhenReport,0
緊急会議ボタンによる貯まる「ストック」の本数,3本,AssaultMasterStockNumWhenMeetingButton,2
「コッキング」によるキルクール減少,2秒,AssaultMasterCockingKillCoolReduceTime,10
「ストック」1本あたりのキルクール減少,5秒,AssaultMasterReloadReduceKillCoolTimePerStock,30
キルによって「リロード」のクールタイムがリセットされるか,オン,AssaultMasterIsResetReloadCoolTimeWhenKill,1
上限を超えた「ストック」1本あたりの「リロード」クールタイム減少率,75％,AssaultMasterReloadCoolTimeReduceRatePerHideStock,45
スポーンレート,0％,ShooterSpawnRate,0
スポーン数,1,ShooterRoleNum,0
アサインウェイト,500,ShooterAssignWeight,499
別の視界設定を持つか,オフ,ShooterHasOtherVision,0
ビジョン,2x,ShooterVision,7
視界効果を受けるか,オフ,ShooterApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,ShooterHasOtherKillCool,0
キルクールタイム,30秒,ShooterKillCoolDown,58
別のキルレンジを持つか,オフ,ShooterHasOtherKillRange,0
キルレンジ,ショート,ShooterKillRange,0
「シューター」が初期覚醒かどうか,オフ,ShooterIsInitAwake,0
「シューター」に覚醒するキル回数,1回,ShooterAwakeKillNum,1
「シューター」に覚醒するインポスター生存者数,1,ShooterAwakeImpNum,0
「シュート」によって非覚醒状態に戻るか,オン,ShooterNoneAwakeWhenShoot,1
「シュート」一回当りのキルクールペナルティ,5秒,ShooterShootKillCoolPenalty,10
緊急会議ボタンを使用できるか,オン,ShooterCanCallMeeting,1
自分で起こした緊急会議で「シュート」出来るか,オン,ShooterCanShootSelfCallMeeting,1
「弾」の最大所持数,1回,ShooterMaxShootNum,0
「弾」の初期弾数,0回,ShooterInitShootNum,0
会議中に「シュート」出来る回数,1回,ShooterMaxMeetingShootNum,0
「弾」の装填にかかる時間,90秒,ShooterShootChargeTime,12
「弾」の装填に必要なキル回数,1回,ShooterShootKillNum,1
スポーンレート,0％,LastWolfSpawnRate,0
スポーン数,1,LastWolfRoleNum,0
アサインウェイト,500,LastWolfAssignWeight,499
別の視界設定を持つか,オフ,LastWolfHasOtherVision,0
ビジョン,2x,LastWolfVision,7
視界効果を受けるか,オフ,LastWolfApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,LastWolfHasOtherKillCool,0
キルクールタイム,30秒,LastWolfKillCoolDown,58
別のキルレンジを持つか,オフ,LastWolfHasOtherKillRange,0
キルレンジ,ショート,LastWolfKillRange,0
ラストウルフに覚醒するインポスターの生存者数,1,LastWolfAwakeImpostorNum,0
死亡者1人当たりのキルクール減少率,2％,LastWolfDeadPlayerNumBonus,0
非覚醒状態のキル回数1回当たりキルクール減少率,4％,LastWolfKillPlayerNumBonus,0
「強制停電」のクールタイム,30秒,LastWolfAbilityCoolTime,59
「強制停電」の発動時間,10秒,LastWolfAbilityActiveTime,19
「強制停電」の視界,0.1,LastWolfLightOffVision,1
スポーンレート,0％,CommanderSpawnRate,0
スポーン数,1,CommanderRoleNum,0
アサインウェイト,500,CommanderAssignWeight,499
別の視界設定を持つか,オフ,CommanderHasOtherVision,0
ビジョン,2x,CommanderVision,7
視界効果を受けるか,オフ,CommanderApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,CommanderHasOtherKillCool,0
キルクールタイム,30秒,CommanderKillCoolDown,58
別のキルレンジを持つか,オフ,CommanderHasOtherKillRange,0
キルレンジ,ショート,CommanderKillRange,0
「攻撃指令」の基本キルクール減少量,2秒,CommanderKillCoolReduceTime,15
インポスターの脱落者1人当たりの「攻撃指令」のキルクール減少量,1.5秒,CommanderKillCoolReduceImpBonus,14
「攻撃指令」の使用回数が増加するキル数,2回,CommanderIncreaseKillNum,1
「攻撃指令」のクールタイム,30秒,CommanderAbilityCoolTime,59
「攻撃指令」の使用可能回数,1回,CommanderAbilityCount,0
スポーンレート,0％,HypnotistSpawnRate,0
スポーン数,1,HypnotistRoleNum,0
アサインウェイト,500,HypnotistAssignWeight,499
別の視界設定を持つか,オフ,HypnotistHasOtherVision,0
ビジョン,2x,HypnotistVision,7
視界効果を受けるか,オフ,HypnotistApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,HypnotistHasOtherKillCool,0
キルクールタイム,30秒,HypnotistKillCoolDown,58
別のキルレンジを持つか,オフ,HypnotistHasOtherKillRange,0
キルレンジ,ショート,HypnotistKillRange,0
ヒプノティストに覚醒するインポスターの生存者数(条件:1),1,HypnotistAwakeCheckImpostorNum,0
ヒプノティストに覚醒するタスクの全体進捗率(条件:2),60％,HypnotistAwakeCheckTaskGage,6
ヒプノティストに覚醒するキル回数(条件:3),2回,HypnotistAwakeKillCount,2
「催眠術」のが発動できる範囲,1.6,HypnotistRange,11
「催眠術」のクールタイム,30秒,HypnotistAbilityCoolTime,59
「催眠術」の発動可能回数,1回,HypnotistAbilityCount,0
「能力のかけら」への矢印が表示される距離,10,HypnotistHideArrowRange,10
「ドール」作成時の「能力のかけら（赤）」のデフォルト個数,0,HypnotistDefaultRedAbilityPart,0
「能力のかけら（赤）」取得後「ドール」からキルボタンが消える秒数,15秒,HypnotistHideKillButtonTime,25
「能力のかけら（赤）」連続取得時の「ドール」のキルクール減少率,10％,HypnotistDollKillCoolReduceRate,10
「ドール」のキルによって「ヒプノティスト」のキルクールがリセットされるか,オン,HypnotistIsResetKillCoolWhenDollKill,1
「ドール」の「クラッキング」のクールタイム,30秒,HypnotistDollCrakingCoolTime,59
「ドール」の「クラッキング」が使用できる時間,3秒,HypnotistDollCrakingActiveTime,5
スポーンレート,0％,UnderWarperSpawnRate,0
スポーン数,1,UnderWarperRoleNum,0
アサインウェイト,500,UnderWarperAssignWeight,499
別の視界設定を持つか,オフ,UnderWarperHasOtherVision,0
ビジョン,2x,UnderWarperVision,7
視界効果を受けるか,オフ,UnderWarperApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,UnderWarperHasOtherKillCool,0
キルクールタイム,30秒,UnderWarperKillCoolDown,58
別のキルレンジを持つか,オフ,UnderWarperHasOtherKillRange,0
キルレンジ,ショート,UnderWarperKillRange,0
アンダーワーパーに覚醒する会議終了後のキル回数,0回,UnderWarperAwakeKillCount,0
ベントが新しくリンクされる会議終了後のキル回数,0回,UnderWarperVentLinkKillCout,0
ベントアニメーションがなくなる会議終了後のキル回数,0回,UnderWarperNoVentAnimeKillCout,0
覚醒後、壁越しでベントを使えるか,オン,UnderWarperWallHackVent,1
覚醒後、ベントが使用できる範囲,2.75,UnderWarperRange,8
スポーンレート,0％,MagicianSpawnRate,0
スポーン数,1,MagicianRoleNum,0
アサインウェイト,500,MagicianAssignWeight,499
別の視界設定を持つか,オフ,MagicianHasOtherVision,0
ビジョン,2x,MagicianVision,7
視界効果を受けるか,オフ,MagicianApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,MagicianHasOtherKillCool,0
キルクールタイム,30秒,MagicianKillCoolDown,58
別のキルレンジを持つか,オフ,MagicianHasOtherKillRange,0
キルレンジ,ショート,MagicianKillRange,0
「ジャグリング」のクールタイム,30秒,MagicianAbilityCoolTime,59
「ジャグリング」の使用回数,1回,MagicianAbilityCount,0
「ジャグリング」の対象になる生存者の割合,100％,MagicianTeleportTargetRate,9
「ジャグリング」のテレポート先が重複するか,オン,MagicianDupeTeleportTargetTo,1
「ジャグリング」のテレポート先にスポーン位置を含むか,オフ,MagicianIncludeSpawnPoint,0
「ジャグリング」の対象に役職の人本人が含まれるか,オフ,MagicianIncludeRolePlayer,0
スポーンレート,0％,SlimeSpawnRate,0
スポーン数,1,SlimeRoleNum,0
アサインウェイト,500,SlimeAssignWeight,499
別の視界設定を持つか,オフ,SlimeHasOtherVision,0
ビジョン,2x,SlimeVision,7
視界効果を受けるか,オフ,SlimeApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,SlimeHasOtherKillCool,0
キルクールタイム,30秒,SlimeKillCoolDown,58
別のキルレンジを持つか,オフ,SlimeHasOtherKillRange,0
キルレンジ,ショート,SlimeKillRange,0
「モーフ」のクールタイム,30秒,SlimeAbilityCoolTime,59
「モーフ」の変身できる時間,30秒,SlimeAbilityActiveTime,59
スポーンレート,0％,ZombieSpawnRate,0
スポーン数,1,ZombieRoleNum,0
アサインウェイト,500,ZombieAssignWeight,499
別の視界設定を持つか,オフ,ZombieHasOtherVision,0
ビジョン,2x,ZombieVision,7
視界効果を受けるか,オフ,ZombieApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,ZombieHasOtherKillCool,0
キルクールタイム,30秒,ZombieKillCoolDown,58
別のキルレンジを持つか,オフ,ZombieHasOtherKillRange,0
キルレンジ,ショート,ZombieKillRange,0
ゾンビに覚醒するキル回数,1回,ZombieAwakeKillCount,1
「魔法陣」のクールタイム,30秒,ZombieAbilityCoolTime,59
「魔法陣」の設置にかかる時間,3秒,ZombieAbilityActiveTime,5
「復活可能状態」になる「魔法陣」の設置個数(条件：1),1回,ZombieAbilityCount,0
「復活可能状態」になるまでのキル回数(条件：2),2回,ZombieResurrectKillCount,2
「魔法陣」が設置後表示されるまでの秒数,10秒,ZombieShowMagicCircleTime,20
「復活可能状態」時に死亡してから復活するまでのタイムラグ,5秒,ZombieResurrectDelayTime,10
追放でも復活することが可能か,オフ,ZombieCanResurrectOnExil,0
スポーンレート,0％,ThiefSpawnRate,0
スポーン数,1,ThiefRoleNum,0
アサインウェイト,500,ThiefAssignWeight,499
別の視界設定を持つか,オフ,ThiefHasOtherVision,0
ビジョン,2x,ThiefVision,7
視界効果を受けるか,オフ,ThiefApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,ThiefHasOtherKillCool,0
キルクールタイム,30秒,ThiefKillCoolDown,58
別のキルレンジを持つか,オフ,ThiefHasOtherKillRange,0
キルレンジ,ショート,ThiefKillRange,0
「スティール」のクールタイム,30秒,ThiefAbilityCoolTime,59
「スティール」が完了するまでの時間,2秒,ThiefAbilityActiveTime,3
「スティール」の使用回数,2回,ThiefAbilityCount,1
「スティール」が発動できる範囲,1.8,ThiefRange,0
「スティール」の発動によって減少する会議時間,30秒,ThiefSetTimeOffset,4
「スティール」の発動によって設置される「刻のかけら」の数,5,ThiefSetNum,4
「刻のかけら」を拾ったときに増加する会議時間,6秒,ThiefPickUpTimeOffset,5
「スティール」の発動で死体にエフェクトを追加するか,オン,ThiefIsAddEffect,1
スポーンレート,100％,CrewshroomSpawnRate,10
スポーン数,1,CrewshroomRoleNum,0
アサインウェイト,500,CrewshroomAssignWeight,499
別の視界設定を持つか,オフ,CrewshroomHasOtherVision,0
ビジョン,2x,CrewshroomVision,7
視界効果を受けるか,オフ,CrewshroomApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,CrewshroomHasOtherKillCool,0
キルクールタイム,30秒,CrewshroomKillCoolDown,58
別のキルレンジを持つか,オフ,CrewshroomHasOtherKillRange,0
キルレンジ,ショート,CrewshroomKillRange,0
「キノコ設置」のクールタイム,30秒,CrewshroomAbilityCoolTime,59
「キノコ設置」が出来る回数,3回,CrewshroomAbilityCount,2
胞子が出るようになるまでの時間,5秒,CrewshroomDelaySecond,9
スポーンレート,0％,TeroristSpawnRate,0
スポーン数,1,TeroristRoleNum,0
アサインウェイト,500,TeroristAssignWeight,499
別の視界設定を持つか,オフ,TeroristHasOtherVision,0
ビジョン,2x,TeroristVision,7
視界効果を受けるか,オフ,TeroristApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,TeroristHasOtherKillCool,0
キルクールタイム,30秒,TeroristKillCoolDown,58
別のキルレンジを持つか,オフ,TeroristHasOtherKillRange,0
キルレンジ,ショート,TeroristKillRange,0
「爆破予告」のクールタイム,30秒,TeroristAbilityCoolTime,59
「爆破予告」の使用回数,5回,TeroristAbilityCount,4
「爆破予告」を他のサボタージュと併用出来るか,オフ,TeroristCanActiveOtherSabotage,0
「爆破予告」から爆発するまでの時間,45秒,TeroristExplosionTime,35
「爆破予告」で設置される爆弾の数,3,TeroristBombNum,2
生存者の爆弾の解除にかかる時間,3秒,TeroristPlayerActivateTime,11
死亡している人が爆弾を解除できるか,オフ,TeroristCanUseDeadPlayer,0
死亡している人の爆弾の解除にかかる時間,10秒,TeroristDeadPlayerActivateTime,7
スポーンレート,0％,RaiderSpawnRate,0
スポーン数,1,RaiderRoleNum,0
アサインウェイト,500,RaiderAssignWeight,499
別の視界設定を持つか,オフ,RaiderHasOtherVision,0
ビジョン,2x,RaiderVision,7
視界効果を受けるか,オフ,RaiderApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,RaiderHasOtherKillCool,0
キルクールタイム,30秒,RaiderKillCoolDown,58
別のキルレンジを持つか,オフ,RaiderHasOtherKillRange,0
キルレンジ,ショート,RaiderKillRange,0
「爆撃モード」のクールタイム,30秒,RaiderAbilityCoolTime,59
「爆撃」の回数,2回,RaiderAbilityCount,1
「爆撃モード」の表示可能秒数,25秒,RaiderAbilityActiveTime,23
「爆撃モード」の表示上限,オン,RaiderIsOpenLimit,1
「爆撃モード」の表示回数,4,RaiderLimitNum,3
「爆撃モード」中にプレイヤーを隠すか,オン,RaiderIsHidePlayerOnOpen,1
「爆撃」の種類,単体,RaiderBombType,0
投下数,5,RaiderBombNum,3
爆撃範囲,1.7,RaiderBombTargetRange,16
爆弾1つあたりの爆発範囲,1.7,RaiderBombRange,16
爆弾1つあたりの落下時間,5,RaiderBombAliveTime,45
爆弾投下位置がインポスター以外に見えるか,オン,RaiderBombShowOtherPlayer,1
スポーンレート,0％,GlitchSpawnRate,0
スポーン数,1,GlitchRoleNum,0
アサインウェイト,500,GlitchAssignWeight,499
別の視界設定を持つか,オフ,GlitchHasOtherVision,0
ビジョン,2x,GlitchVision,7
視界効果を受けるか,オフ,GlitchApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,GlitchHasOtherKillCool,0
キルクールタイム,30秒,GlitchKillCoolDown,58
別のキルレンジを持つか,オフ,GlitchHasOtherKillRange,0
キルレンジ,ショート,GlitchKillRange,0
「グリッチ」のクールタイム,30秒,GlitchAbilityCoolTime,59
「グリッチ」の使用回数,2回,GlitchAbilityCount,1
「グリッチ」が発動できる範囲,1.5,GlitchRange,14
インポスターが「グリッチ」の影響を受けるか,オフ,GlitchEffectOnImpo,0
「グリッチ」を使用してから発動するまでのラグ,5秒,GlitchDelay,10
「グリッチ」の発動時間,10秒,GlitchActiveTime,9
スポーンレート,0％,HijackerSpawnRate,0
スポーン数,1,HijackerRoleNum,0
アサインウェイト,500,HijackerAssignWeight,499
別の視界設定を持つか,オフ,HijackerHasOtherVision,0
ビジョン,2x,HijackerVision,7
視界効果を受けるか,オフ,HijackerApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,HijackerHasOtherKillCool,0
キルクールタイム,30秒,HijackerKillCoolDown,58
別のキルレンジを持つか,オフ,HijackerHasOtherKillRange,0
キルレンジ,ショート,HijackerKillRange,0
「ハイジャック」のクールタイム,30秒,HijackerAbilityCoolTime,59
「ハイジャック」の持続時間,10秒,HijackerAbilityActiveTime,19
「ハイジャック」の使用回数,3回,HijackerAbilityCount,2
「ハイジャック」のターゲットプレイヤーがランダムか,オン,HijackerIsRandomPlayer,1
スポーンレート,0％,TimeBreakerSpawnRate,0
スポーン数,1,TimeBreakerRoleNum,0
アサインウェイト,500,TimeBreakerAssignWeight,499
別の視界設定を持つか,オフ,TimeBreakerHasOtherVision,0
ビジョン,2x,TimeBreakerVision,7
視界効果を受けるか,オフ,TimeBreakerApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,TimeBreakerHasOtherKillCool,0
キルクールタイム,30秒,TimeBreakerKillCoolDown,58
別のキルレンジを持つか,オフ,TimeBreakerHasOtherKillRange,0
キルレンジ,ショート,TimeBreakerKillRange,0
「タイムブレイク」のクールタイム,30秒,TimeBreakerAbilityCoolTime,59
「タイムブレイク」の使用回数,2回,TimeBreakerAbilityCount,1
「タイムブレイク」の発動時間,10秒,TimeBreakerActiveTime,18
インポスターが「タイムブレイク」の影響を受けるか,オン,TimeBreakerEffectImp,1
「タイムブレイク」発動中のエフェクト,オン,TimeBreakerIsActiveScreen,1
スポーンレート,0％,AliceSpawnRate,0
スポーン数,1,AliceRoleNum,0
アサインウェイト,500,AliceAssignWeight,499
別の視界設定を持つか,オフ,AliceHasOtherVision,0
ビジョン,2x,AliceVision,7
視界効果を受けるか,オフ,AliceApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,AliceHasOtherKillCool,0
キルクールタイム,30秒,AliceKillCoolDown,58
別のキルレンジを持つか,オフ,AliceHasOtherKillRange,0
キルレンジ,ショート,AliceKillRange,0
サボタージュを使えるか,オン,AliceCanUseSabotage,1
「破壊工作」のクールタイム,30秒,AliceAbilityCoolTime,59
「破壊工作」の回数,2回,AliceAbilityCount,1
「破壊工作」によって巻き戻るロングタスクの数,1,AliceRevartLongTaskNum,1
「破壊工作」によって巻き戻るショートタスクの数,1,AliceRevartCommonTaskNum,1
「破壊工作」によって巻き戻る通常タスクの数,1,AliceRevartNormalTaskNum,1
スポーンレート,100％,JackalSpawnRate,10
スポーン数,1,JackalRoleNum,0
アサインウェイト,500,JackalAssignWeight,499
別の視界設定を持つか,オン,JackalHasOtherVision,1
ビジョン,2x,JackalVision,7
視界効果を受けるか,オフ,JackalApplyEnvironmentVisionEffect,0
別のキルクールタイムを持つか,オフ,JackalHasOtherKillCool,0
キルクールタイム,30秒,JackalKillCoolDown,58
別のキルレンジを持つか,オフ,JackalHasOtherKillRange,0
キルレンジ,ショート,JackalKillRange,0
